University of Alabama,9,9,4
American University,8,4,1
Berkeley,7,0,0
Boston University,11,3,0
Brown University,7,0,0
California Polytechnic Institute and State University,2,1,0
California Institute of Technology,0,0,0
Carnegie Mellon,10,1,1
Case Western University,7,5,1
University of Chicago,7,1,1
Christopher Newport University,11,3,0
Clemson University,67,42,9
Columbia University,8,0,0
Cornell University,14,1,1
Dartmouth University,3,0,0
University of Delaware,4,3,0
Duke University,18,1,1
Elon University,10,9,2
George Mason University,10,1,1
George Washington University,8,4,2
Georgetown University,121,88,31
Georgia Institute of Technology,17,5,2
Harvard University,6,1,1
James Madison University,152,101,35
Johns Hopkins University,9,0,0
Longwood University,15,11,1
Louisiana State University,2,2,0
Mary Washington University,46,35,4
University of Maryland,14,9,3
Miami University,4,2,0
University of Michigan,7,3,0
Massachusetts Institute of Technology,3,0,0
North Carolina State University,11,5,0
New York University,6,2,0
Northeastern University,14,4,2
Northwestern University,4,0,0
Northern Virginia Community College,118,117,115
Old Dominion University,42,37,11
Penn State University,17,17,2
University of Pennsylvania,12,0,0
University of Pittsburg,16,16,1
Princeton University,8,1,1
Radford University,20,16,5
University of Richmond,9,4,0
South Carolina University,13,12,2
University of Southern California,8,0,0
Stanford University,7,0,0
University of California-Los Angeles,14,0,0
University of North Carolina,9,3,1
University of Virginia,89,31,22
University of Vermont,5,5,3
Virginia Commonwealth University,118,97,25
Virginia Polytechnic Institute and State University,155,93,50
Virginia Military Institute,5,2,0
Washington and Lee,4,2,1
West Virginia University,18,16,5
William and Mary,77,29,12
Yale University,2,0,0
